school_name,Latitude,Longitude
Bronx Latin,40.827743,-73.900105
East Bronx Academy for the Future,40.836356,-73.888361
Pan American International High School at Monroe,40.831601,-73.878912
Arturo A. Schomburg Satellite Academy Bronx,40.823532,-73.898872
"Cinema School, The",40.831416,-73.877785
Bronx Career and College Preparatory High School,40.827743,-73.900105
Bronx Envision Academy,40.8359,-73.890458
"Metropolitan Soundview High School, The",40.831601,-73.878912
High School of World Cultures,40.831601,-73.878912
Fannie Lou Hamer Freedom High School,40.83087,-73.88626
Wings Academy,40.841794,-73.875366
Dr. Susan S. McKinney Secondary School of the Arts,40.696324,-73.97578
Urban Assembly School for Music and Art,40.697339,-73.985016
Brooklyn Community Arts & Media High School (BCAM),40.692642,-73.958794
"Science Skills Center High School for Science, Technology and the Creative Arts",40.697339,-73.985016
Brooklyn Technical High School,40.688834,-73.976905
Brooklyn International High School,40.697339,-73.985016
"Urban Assembly School for Law and Justice, The",40.694682,-73.988853
Urban Assembly Institute of Math and Science for Young Women,40.694682,-73.988853
Brooklyn Academy High School,40.685004,-73.947152
Gotham Professional Arts Academy,40.678488,-73.962105
Bedford Academy High School,40.68538,-73.954302
George Westinghouse Career and Technical Education High School,40.694926,-73.986015
Brooklyn High School for Leadership and Community Service,40.692642,-73.958794
Benjamin Banneker Academy,40.695332,-73.969243
"City Polytechnic High School of Engineering, Architecture, and Technology",40.694926,-73.986015
Juan Morel Campos Secondary School,40.703624,-73.953146
"Brooklyn Latin School, The",40.709941,-73.943641
"Williamsburg High School of Art and Technology, The",40.709941,-73.943641
PROGRESS High School for Professional Careers,40.712184,-73.939722
East Williamsburg Scholars Academy,40.712184,-73.939722
"High School for Enterprise, Business and Technology, The",40.712184,-73.939722
Brooklyn Preparatory High School,40.715073,-73.954754
Williamsburg High School for Architecture and Design,40.715073,-73.954754
Williamsburg Preparatory School,40.715073,-73.954754
Lyons Community School,40.709941,-73.943641
A-TECH High School,40.721981,-73.953281
Young Women's Leadership School of Brooklyn (TYWLS),40.705204,-73.939407
El Puente Academy for Peace and Justice,40.705898,-73.955611
Brooklyn Frontiers High School,40.690145,-73.989132
Digital Arts and Cinema Technology High School,40.685419,-73.993351
Brooklyn Collaborative Studies,40.68007,-74.001377
John Jay School for Law,40.669629,-73.979287
Cyberarts Studio Academy,40.669629,-73.979287
Park Slope Collegiate,40.669629,-73.979287
"Boerum Hill School for International Studies, The",40.685419,-73.993351
Cobble Hill School of American Studies,40.684524,-73.990993
Khalil Gibran International Academy,40.686499,-73.979649
Brooklyn High School of the Arts,40.683559,-73.98027
Sunset Park High School,40.65571,-74.005197
Millennium Brooklyn High School,40.669629,-73.979287
Boys and Girls High School,40.67944,-73.932407
Brooklyn High School for Law and Technology,40.688831,-73.920906
"Brooklyn Academy of Global Finance, The",40.691274,-73.933697
Nelson Mandela High School,40.67944,-73.932407
Pathways in Technology Early College High School (P-TECH),40.675612,-73.938843
Academy for College Preparation and Career Exploration: A College Board School,40.649787,-73.95855
Academy of Hospitality and Tourism,40.649787,-73.95855
International High School at Prospect Heights,40.670349,-73.961695
"High School for Global Citizenship, The",40.670349,-73.961695
"School for Human Rights, The",40.658893,-73.942458
High School for Youth and Community Development at Erasmus,40.649787,-73.95855
