name,Latitude,Longitude
Urban Assembly Institute of Math and Science for Young Women,40.694682,-73.988853
Fort Greene Preparatory Academy,40.694633,-73.971165
MS 915,40.694926,-73.986015
J.H.S. 050 John D. Wells,40.711704,-73.960275
Juan Morel Campos Secondary School,40.703624,-73.953146
P.S. 084 Jose De Diego,40.714785,-73.963
John Ericsson Middle School 126,40.719819,-73.948625
P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,40.695417,-73.959571
I.S. 318 Eugenio Maria De Hostos,40.7025,-73.948869
Conselyea Preparatory School,40.715351,-73.956716
M.S. 582,40.708723,-73.940002
Lyons Community School,40.709941,-73.943641
Young Women's Leadership School of Brooklyn,40.705204,-73.939407
M.S. 51 William Alexander,40.672015,-73.983947
J.H.S. 088 Peter Rouget,40.660024,-73.987637
I.S. 136 Charles O. Dewey,40.651977,-74.006862
M.S. 442 School for Innovation,40.656944,-73.983115
New Voices School of Academic & Creative Arts,40.660976,-73.988297
The Math & Science Exploratory School,40.683559,-73.98027
Brooklyn Collaborative Studies,40.68007,-74.001377
Park Slope Collegiate,40.669629,-73.979287
The Boerum Hill School for International Studies,40.685419,-73.993351
Sunset Park Prep,40.651977,-74.006862
M.S. 839,40.64759,-73.973362
M.S. 035 Stephen Decatur,40.681896,-73.935963
J.H.S. 057 Whitelaw Reid Academy of Arts and Business,40.691274,-73.933697
"M.S. 267 Math, Science & Technology",40.68832,-73.932275
P.S. 308 Clara Cardwell,40.688695,-73.935499
Madiba Prep Middle School,40.692126,-73.931731
The Brooklyn Green School,40.674656,-73.927794
Parkside Preparatory Academy,40.656183,-73.951583
M.S. 061 Dr. Gladstone H. Atwell,40.664007,-73.94922
P.S. 138 Brooklyn,40.67438,-73.951443
P.S. 181 Brooklyn,40.648215,-73.946374
P.S. 189 The Bilingual Center,40.665565,-73.926246
M.S. 246 Walt Whitman,40.648608,-73.952821
I.S. 340,40.676094,-73.97038
Ebbets Field Middle School,40.665035,-73.959031
Elijah Stroud Middle School,40.674406,-73.960254
The School of Integrated Learning,40.672713,-73.936924
The Science And Medicine Middle School,40.647323,-73.892022
Academy for College Preparation and Career Exploration: A College Board School,40.649787,-73.95855
M.S. K394,40.672762,-73.927973
Ronald Edmonds Learning Center II,40.673073,-73.919594
"Science, Technology and Research Early College High School at Erasmus",40.649787,-73.95855
Medgar Evers College Preparatory School,40.667195,-73.951167
New Heights Middle School,40.662447,-73.936382
P.S. 66,40.64883,-73.907774
I.S. 068 Isaac Bildersee,40.635553,-73.91079
I.S. 211 John Wilson,40.643278,-73.896212
The Lenox Academy,40.654704,-73.941089
I.S. 285 Meyer Levin,40.646877,-73.920977
East Flatbush Community Research School,40.65843,-73.929076
Middle School for Art and Philosophy,40.658295,-73.920109
Brooklyn Science and Engineering Academy,40.648423,-73.925948
P.S. 089 Cypress Hills,40.677697,-73.886936
Highland Park Community School,40.68618,-73.869625
I.S. 171 Abraham Lincoln,40.68618,-73.869625
J.H.S. 218 James P. Sinnott,40.670724,-73.874208
J.H.S. 292 Margaret S. Douglas,40.671987,-73.893896
I.S. 364 Gateway,40.645806,-73.881671
Academy for Young Writers,40.657434,-73.874734
East New York Family Academy,40.674135,-73.89643
Spring Creek Community School,40.657434,-73.874734
Frederick Douglass Academy VIII Middle School,40.64726,-73.881114
Van Siclen Community Middle School,40.66011,-73.885387
P.S. 163 Bath Beach,40.606792,-74.00806
Vista Academy,40.677104,-73.883433
Liberty Avenue Middle School,40.677104,-73.883433
School of the Future Brooklyn,40.665798,-73.897723
East New York Middle School of Excellence,40.669387,-73.879614
Legacy School of the Arts,40.662326,-73.894441
P.S./I.S. 30 Mary White Ovington,40.63359,-74.023948
J.H.S. 062 Ditmas,40.638686,-73.971651
P.S./I.S. 104 The Fort Hamilton School,40.618415,-74.028842
The SEEALL Academy,40.627029,-73.989672
The Christa McAuliffe School\I.S. 187,40.627784,-74.004485
P.S. 192 - The Magnet School for Math and Science Inquiry,40.629303,-73.979995
J.H.S. 201 The Dyker Heights,40.618676,-74.012722
P.S. 238 Anne Sullivan,40.608862,-73.965058
J.H.S. 220 John J. Pershing,40.640545,-74.000731
J.H.S. 223 The Montauk,40.634875,-73.981528
J.H.S. 227 Edward B. Shallow,40.62191,-73.995022
P.S. 229 Dyker,40.610963,-74.013376
P.S. 184 Newport,40.659966,-73.904901
J.H.S. 259 William Mckinley,40.62668,-74.01512
Urban Assembly School for Criminal Justice,40.634875,-73.981528
Brooklyn School of Inquiry,40.60731,-73.986595
M.S. 936,40.643763,-74.020215
P.S. 095 The Gravesend,40.595698,-73.97518
I.S. 096 Seth Low,40.60754,-73.984661
I.S. 98 Bay Academy,40.583125,-73.954037
P.S. 099 Isaac Asimov,40.621565,-73.965595
P.S. 121 Nelson A. Rockefeller,40.623273,-73.978822
P.S. 209 Margaret Mead,40.586845,-73.96198
P.S. K225 - The Eileen E. Zaglin,40.579737,-73.956329
P.S. 226 Alfred De B. Mason,40.615252,-73.97635
I.S. 228 David A. Boody,40.6013,-73.976953
